PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;16;14;28079016_14_6;2018;10;19;48.59;V;50.46;V;52.05;V;52.29;V;55.08;V;53.87;V;37.28;V;27.78;V;25.84;V;16.05;V;22.94;V;24.92;V;32.53;V;36.95;V;38.48;V;30.82;V;30.20;V;40.90;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;17;1;28079017_1_38;2018;10;19;00015;V;00016;V;00015;V;00015;V;00015;V;00015;V;00015;V;00015;V;00015;V;00015;V;00015;V;00015;V;00015;V;00015;V;00015;V;00015;V;00015;V;00015;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;17;7;28079017_7_8;2018;10;19;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00003;V;00008;V;00007;V;00006;V;00005;V;00003;V;00003;V;00002;V;00009;V;00003;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;17;8;28079017_8_8;2018;10;19;00009;V;00006;V;00003;V;00002;V;00003;V;00008;V;00025;V;00040;V;00049;V;00049;V;00032;V;00028;V;00019;V;00015;V;00017;V;00019;V;00044;V;00031;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;17;12;28079017_12_8;2018;10;19;00011;V;00007;V;00005;V;00003;V;00004;V;00010;V;00026;V;00042;V;00053;V;00060;V;00043;V;00037;V;00026;V;00019;V;00021;V;00022;V;00057;V;00036;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;17;14;28079017_14_6;2018;10;19;46.39;V;49.57;V;55.90;V;59.17;V;58.37;V;53.26;V;34.64;V;24.04;V;20.15;V;19.27;V;23.89;V;26.93;V;35.76;V;44.59;V;42.94;V;44.76;V;23.58;V;25.82;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;1;28079018_1_38;2018;10;19;00006;V;00005;V;00006;V;00006;V;00005;V;00006;V;00005;V;00006;V;00006;V;00006;V;00006;V;00006;V;00006;V;00006;V;00006;V;00006;V;00006;V;00006;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;6;28079018_6_48;2018;10;19;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.5;V;000.5;V;000.5;V;000.5;V;000.4;V;000.4;V;000.5;V;000.5;V;000.5;V;000.5;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;7;28079018_7_8;2018;10;19;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00004;V;00009;V;00010;V;00010;V;00007;V;00006;V;00007;V;00006;V;00008;V;00006;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;8;28079018_8_8;2018;10;19;00012;V;00007;V;00005;V;00004;V;00004;V;00006;V;00015;V;00031;V;00040;V;00048;V;00035;V;00035;V;00023;V;00020;V;00025;V;00030;V;00038;V;00036;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;10;28079018_10_47;2018;10;19;00001;V;00001;V;00002;V;00005;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00005;V;00004;V;00029;V;00019;V;00009;V;00008;V;00007;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;12;28079018_12_8;2018;10;19;00013;V;00008;V;00006;V;00005;V;00006;V;00008;V;00017;V;00034;V;00047;V;00063;V;00051;V;00051;V;00035;V;00030;V;00036;V;00040;V;00050;V;00045;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;14;28079018_14_6;2018;10;19;50.24;V;53.21;V;55.61;V;56.85;V;57.86;V;57.90;V;46.15;V;33.47;V;28.60;V;22.50;V;28.89;V;29.25;V;40.37;V;43.71;V;39.90;V;41.31;V;28.27;V;36.11;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;20;28079018_20_59;2018;10;19;000.4;V;000.4;V;000.3;V;000.2;V;000.2;V;000.2;V;000.3;V;000.5;V;000.5;V;000.9;V;002.1;V;001.0;V;000.8;V;000.7;V;000.6;V;000.6;V;000.7;V;001.2;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;30;28079018_30_59;2018;10;19;000.1;V;000.1;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
